review_idx,sentence_idx,aspect,sentence,true_label,baseline_pred,bert_pred,category,n_words,has_negation_marker
4749,1,product quality and performance,"When she comes to visit, she picks this toy out of the pile of toys to play with first every time.",negative,negative,positive,bert_introduces_new_error,21,False
1717,7,"ease of use, assembly and convenience",It is pretty simple to use and mine came with an instructional DVD.,negative,negative,positive,bert_introduces_new_error,13,False
7702,4,"packaging, shipping and delivery",I use the refill packages as they are very easy to transport and there is a open and close tab on the top.,negative,negative,positive,bert_introduces_new_error,23,False
4997,1,"durability, washability and longevity","All kicks can be just wiped off, and the organizer will hold all kinds of fun activities for the toddler through middle school group.",negative,negative,positive,bert_introduces_new_error,24,False
4794,3,"design, appearance and looks","However, with these locks he has not been able to get around it, so we are beyond impressed!",negative,negative,positive,bert_introduces_new_error,18,True
1977,4,product quality and performance,Also it doesn't have an obnoxious smell like Desitin.,negative,negative,positive,bert_introduces_new_error,9,True
4329,5,"design, appearance and looks",There are many coordinating pieces by Skip Hop. <br,positive,positive,negative,bert_introduces_new_error,9,False
9519,0,product quality and performance,The stingray is very wobbly even when u tighten with velcro strips.,negative,negative,positive,bert_introduces_new_error,12,False
4489,3,safety for babies and children,"I'm really concerned about the ""mattress"" pad it came with, though.",negative,negative,positive,bert_introduces_new_error,11,False
5549,0,"price, cost and value for money",Used this on our trip from TX to CA.,negative,negative,positive,bert_introduces_new_error,9,False
6945,2,"design, appearance and looks","We put them in our nursery and I'm still a couple weeks from my due date, so they aren't being touched or picked at in any way, and nothing is disturbing them on the wall.",negative,negative,positive,bert_introduces_new_error,35,True
1612,1,product quality and performance,The three straps make it easy to place on a headrest.,negative,negative,positive,bert_introduces_new_error,11,False
2793,4,product quality and performance,It was a little expensive and I hope it holds for a few years.,positive,positive,negative,bert_introduces_new_error,14,False
1453,0,product quality and performance,Product came as expected just didn't stick to our smooth material of our tub.,negative,negative,positive,bert_introduces_new_error,14,True
1717,7,product quality and performance,It is pretty simple to use and mine came with an instructional DVD.,negative,negative,positive,bert_introduces_new_error,13,False
3264,8,product quality and performance,"and it has not caused itching, hives or redness.",negative,negative,positive,bert_introduces_new_error,9,True
8780,1,"size, dimensions and fit",Is still pretty big when it's folded but much smaller than other doubles I've tried.,positive,positive,negative,bert_introduces_new_error,15,True
4489,3,product quality and performance,"I'm really concerned about the ""mattress"" pad it came with, though.",negative,negative,positive,bert_introduces_new_error,11,False
3249,4,"ease of use, assembly and convenience",We leave it open when he is not in the house.,negative,negative,positive,bert_introduces_new_error,11,True
8247,2,"size, dimensions and fit","The wide bottle fits most breast pumps, so you can pump directly into the bottle.",negative,negative,positive,bert_introduces_new_error,15,False
