review_idx,sentence_idx,aspect,sentence,true_label,baseline_pred,bert_pred,category,n_words,has_negation_marker
8219,4,"ease of use, assembly and convenience","This is also easy to put on the baby, it zips right up or down, with the two way zipper.",positive,negative,positive,bert_fixes_baseline_error,20,False
4081,0,product quality and performance,"these are very good..we had a guest with 3 year kid, keep opening kitchen shelves..these locks really helped in securing them..they did not open even when kid tried forcedly ..1 star less due to difficulty in removal",positive,negative,positive,bert_fixes_baseline_error,37,True
7791,2,product quality and performance,"It's stable, doesn't tip, and doesn't slide too fast away from baby because of the ability to adjust the speed of the wheels.",positive,negative,positive,bert_fixes_baseline_error,23,True
8331,3,"comfort, softness and texture","Like, way flatter than you'd imagine. That being said, I just turned it sideways, leveled one side against the wall as a headrest, and lay on the other side.",negative,positive,negative,bert_fixes_baseline_error,29,False
5732,3,"ease of use, assembly and convenience",I store them in multiple places within the house as well as the diaper bag and in my car.,negative,positive,negative,bert_fixes_baseline_error,19,False
2877,1,"price, cost and value for money",The price on Amazon is comparable to most box stores and sometimes cheaper but these are delivered conveniently to my home so prefer to buy them with Amazon. We,negative,positive,negative,bert_fixes_baseline_error,29,True
1688,6,"ease of use, assembly and convenience","You press the red pedal on the right to stop, the green pedal on the left to go.",negative,positive,negative,bert_fixes_baseline_error,18,False
4290,1,product quality and performance,It is unique in that it is thicker at the top to help catch more and avoid wetness.,positive,negative,positive,bert_fixes_baseline_error,18,False
6759,7,safety for babies and children,/>Both car seats are installed on a 2017 Ford Fusion Platinum. The,positive,negative,positive,bert_fixes_baseline_error,12,False
1996,11,"ease of use, assembly and convenience","We were able to go straight to the bigger positioning on both of these though, so that wasn't a factor for us.",negative,positive,negative,bert_fixes_baseline_error,22,True
8219,1,"ease of use, assembly and convenience",It is soft and stretchy and has easy zippered access for changing diapers.,negative,positive,negative,bert_fixes_baseline_error,13,False
2909,0,"size, dimensions and fit",Nice but to small for my use.,positive,negative,positive,bert_fixes_baseline_error,7,True
2860,0,"design, appearance and looks",I bought this cup in green and blue.,positive,negative,positive,bert_fixes_baseline_error,8,False
3398,1,"ease of use, assembly and convenience","Soft, fits the Pack n Play like a glove, and it is very easy to wash and dry.",positive,negative,positive,bert_fixes_baseline_error,18,False
9866,3,"ease of use, assembly and convenience","I don't know the exact amount of wipes we have in there but its has plenty in there, enough I don't worry about having to refill very often.",positive,negative,positive,bert_fixes_baseline_error,28,True
4396,4,"design, appearance and looks","At the very top it has a clear window as many do, but it does not have a cover that can go over it.",negative,positive,negative,bert_fixes_baseline_error,24,True
6059,0,"design, appearance and looks",Seem nice but they're expensive for wipes,negative,positive,negative,bert_fixes_baseline_error,7,True
5630,0,safety for babies and children,I have used natural products for all of our children since before they were popular like they are now.,positive,negative,positive,bert_fixes_baseline_error,19,False
7401,1,"ease of use, assembly and convenience",I like that I can put the entree in the big part and the fruit/veggies in the smaller compartments.,positive,negative,positive,bert_fixes_baseline_error,19,False
2909,1,customer service and seller support,They were returned.,positive,negative,positive,bert_fixes_baseline_error,3,False
