aspect,taux_erreur_bert,n_exemples
"ease of use, assembly and convenience",0.09653092006033183,663
"size, dimensions and fit",0.08960573476702509,279
safety for babies and children,0.08241758241758242,546
"durability, washability and longevity",0.08069164265129683,347
"price, cost and value for money",0.07692307692307693,299
product quality and performance,0.06491416309012875,1864
"design, appearance and looks",0.05827505827505827,858
"comfort, softness and texture",0.05787781350482315,622
customer service and seller support,0.02631578947368421,38
"packaging, shipping and delivery",0.018867924528301886,53
