review_idx,sentence_idx,aspect,sentence,true_label,baseline_pred,bert_pred,category,n_words,has_negation_marker
1584,0,"design, appearance and looks",These are the cutest little cups.,positive,negative,positive,bert_fixes_baseline_error,6,False
1584,0,"comfort, softness and texture",These are the cutest little cups.,positive,negative,positive,bert_fixes_baseline_error,6,False
1584,1,"design, appearance and looks",My kids love them.,positive,negative,positive,bert_fixes_baseline_error,4,False
1584,1,product quality and performance,My kids love them.,positive,negative,positive,bert_fixes_baseline_error,4,False
1584,2,"design, appearance and looks",The colors and pictures on the cups are darling.,positive,negative,positive,bert_fixes_baseline_error,9,False
1584,3,product quality and performance,They don't break if dropped.,positive,positive,negative,bert_introduces_new_error,5,True
1584,3,"durability, washability and longevity",They don't break if dropped.,positive,positive,negative,bert_introduces_new_error,5,True
1584,4,"size, dimensions and fit",But they feel like big kid cups because they have no lids.,negative,positive,negative,bert_fixes_baseline_error,12,True
1584,4,"comfort, softness and texture",But they feel like big kid cups because they have no lids.,negative,positive,negative,bert_fixes_baseline_error,12,True
1584,6,safety for babies and children,"So, little hands trying very hard to manage with one hand squeeze the cup and spill the contents.",negative,negative,negative,both_correct,18,False
1584,7,"size, dimensions and fit","They are a little wide for my 4 and 5 year olds to use one hand, but they insist on trying anyway.",positive,negative,positive,bert_fixes_baseline_error,22,True
1584,7,safety for babies and children,"They are a little wide for my 4 and 5 year olds to use one hand, but they insist on trying anyway.",positive,negative,negative,both_wrong,22,True
1584,8,product quality and performance,"If they were a little firmer or a little more narrow, I feel like we wouldn't have as many squeeze and spill issues.",negative,negative,positive,bert_introduces_new_error,23,True
1584,8,"size, dimensions and fit","If they were a little firmer or a little more narrow, I feel like we wouldn't have as many squeeze and spill issues.",negative,negative,positive,bert_introduces_new_error,23,True
2053,2,customer service and seller support,"They sent me a high chair that had obviously been returned, likely for my same complaints.",negative,negative,negative,both_correct,16,False
2053,2,"design, appearance and looks","They sent me a high chair that had obviously been returned, likely for my same complaints.",negative,negative,negative,both_correct,16,False
2053,3,safety for babies and children,"So, I'll return this, and they'll probably send it to the next unsuspecting victim. I've been raising kids for 30 years, now grandkids, and trusted Graco.",negative,negative,negative,both_correct,26,False
2053,3,customer service and seller support,"So, I'll return this, and they'll probably send it to the next unsuspecting victim. I've been raising kids for 30 years, now grandkids, and trusted Graco.",negative,negative,negative,both_correct,26,False
2487,0,product quality and performance,Okay I haven't officially used it yet.,negative,negative,positive,bert_introduces_new_error,7,True
2487,1,product quality and performance,"But after washing it, it held up very nice and the fabric is VERY SOFT.",positive,positive,positive,both_correct,15,True
2487,1,"durability, washability and longevity","But after washing it, it held up very nice and the fabric is VERY SOFT.",positive,positive,positive,both_correct,15,True
