review_idx,sentence_idx,aspect,sentence,true_label,baseline_pred,bert_pred,category,n_words,has_negation_marker
1371,0,product quality and performance,These are brilliant..,positive,positive,positive,both_correct,3,False
1371,0,"design, appearance and looks",These are brilliant..,positive,positive,positive,both_correct,3,False
1371,1,"ease of use, assembly and convenience","Who knew, feeding your little one could become so easy!!",negative,negative,negative,both_correct,10,False
1371,2,"ease of use, assembly and convenience",I am fully on board with this concept.. and hope parents everywhere can gain from the ease and convenience this offers! -How clever!,positive,positive,positive,both_correct,23,False
1371,3,"ease of use, assembly and convenience",I am loving the safe germ free mat that was crafted ergonomically to have sections built in.. to provide parents the need for only one item to feed their kiddos from-,positive,positive,positive,both_correct,31,False
1371,3,safety for babies and children,I am loving the safe germ free mat that was crafted ergonomically to have sections built in.. to provide parents the need for only one item to feed their kiddos from-,positive,positive,positive,both_correct,31,False
1371,4,safety for babies and children,This is especially helpful when using public space to feed little ones from.,positive,positive,positive,both_correct,13,False
1371,5,safety for babies and children,Providing a mat cover to place food on top allows kids to eat directly from the item you provide vs. one you cannot control the cleanliness of. -The,positive,negative,positive,bert_fixes_baseline_error,28,True
1371,6,"size, dimensions and fit",lower edges of these divided sections help allow kids to get a physical grasp on an item..,negative,negative,positive,bert_introduces_new_error,17,False
1371,8,product quality and performance,"more worry about small dishes falling off or, being thrown over the edge.. this mat sticks to the counter/tray it's placed on!",negative,negative,negative,both_correct,22,False
1371,8,"durability, washability and longevity","more worry about small dishes falling off or, being thrown over the edge.. this mat sticks to the counter/tray it's placed on!",negative,negative,negative,both_correct,22,False
1371,10,"durability, washability and longevity","Wipe surface with damn cloth, it will help tremendously.",positive,negative,positive,bert_fixes_baseline_error,9,False
1371,10,"design, appearance and looks","Wipe surface with damn cloth, it will help tremendously.",positive,negative,positive,bert_fixes_baseline_error,9,False
1371,11,"ease of use, assembly and convenience",Removal is simple- peel and done! <br,negative,positive,negative,bert_fixes_baseline_error,7,False
1371,11,product quality and performance,Removal is simple- peel and done! <br,negative,positive,negative,bert_fixes_baseline_error,7,False
1371,12,"durability, washability and longevity","/>-These mats can be rinsed off, wiped down or, run through dishwasher.. and be ready to go again for the next meal!",negative,negative,negative,both_correct,22,False
1371,12,"ease of use, assembly and convenience","/>-These mats can be rinsed off, wiped down or, run through dishwasher.. and be ready to go again for the next meal!",negative,negative,negative,both_correct,22,False
1371,13,"ease of use, assembly and convenience","Keep the zip top bag This comes with.. that way, if taking to use on the go, it has a safe and clean way to travel!",positive,negative,positive,bert_fixes_baseline_error,26,False
1371,13,"durability, washability and longevity","Keep the zip top bag This comes with.. that way, if taking to use on the go, it has a safe and clean way to travel!",positive,negative,positive,bert_fixes_baseline_error,26,False
1371,14,"design, appearance and looks","I attached photo for you to see the pouch.. -TBH, I'm wondering why they do not make these for college kids as well?!",negative,negative,negative,both_correct,23,True
1371,15,"ease of use, assembly and convenience",They are so clever and spare the need for multiple dishes..,positive,negative,positive,bert_fixes_baseline_error,11,False
1371,15,"durability, washability and longevity",They are so clever and spare the need for multiple dishes..,positive,negative,positive,bert_fixes_baseline_error,11,False
1371,17,"price, cost and value for money",It would save me needing to purchase many things for 1x person kitchen use!,negative,negative,negative,both_correct,14,False
1371,17,"ease of use, assembly and convenience",It would save me needing to purchase many things for 1x person kitchen use!,negative,negative,negative,both_correct,14,False
1371,20,"design, appearance and looks",so many fun shapes and colors- you can't go,positive,positive,positive,both_correct,9,True
1374,0,product quality and performance,Absolutely the real deal..I'm in love with this find!!,positive,positive,positive,both_correct,9,False
1374,0,"design, appearance and looks",Absolutely the real deal..I'm in love with this find!!,positive,positive,positive,both_correct,9,False
1374,1,product quality and performance,"Its a perfect blend of both, quality and usability-",positive,positive,positive,both_correct,9,False
1374,1,"comfort, softness and texture","Its a perfect blend of both, quality and usability-",positive,positive,positive,both_correct,9,False
1374,2,"design, appearance and looks",And just what I was looking for.,positive,positive,positive,both_correct,7,False
1374,2,product quality and performance,And just what I was looking for.,positive,positive,positive,both_correct,7,False
1374,3,"design, appearance and looks",Wow..!! <br,positive,positive,positive,both_correct,2,False
1374,4,safety for babies and children,"/>Being tasked with the new role of ""Auntie-Nanny"" to my sisters little one..",positive,positive,negative,bert_introduces_new_error,13,False
1374,5,safety for babies and children,"After 17 years of being out of the game, I found myself searching the options to create a perfect ""infant-toddler utopia..""",negative,positive,negative,bert_fixes_baseline_error,21,False
1374,5,"design, appearance and looks","After 17 years of being out of the game, I found myself searching the options to create a perfect ""infant-toddler utopia..""",negative,positive,positive,both_wrong,21,False
1374,6,"durability, washability and longevity",with travertine tile on most of my main floor sent me searching for a safe solution-,negative,negative,negative,both_correct,16,False
1374,7,safety for babies and children,"this is the perfect mat to grow with our needs from infant to toddler, providing tummy time and all movements up too toy exploring- all while providing comfort and peace of mind to safety! I chose the largest of the mats which is perfect for our front room TV area.",positive,positive,positive,both_correct,50,False
1374,7,product quality and performance,"this is the perfect mat to grow with our needs from infant to toddler, providing tummy time and all movements up too toy exploring- all while providing comfort and peace of mind to safety! I chose the largest of the mats which is perfect for our front room TV area.",positive,positive,positive,both_correct,50,False
1374,7,"comfort, softness and texture","this is the perfect mat to grow with our needs from infant to toddler, providing tummy time and all movements up too toy exploring- all while providing comfort and peace of mind to safety! I chose the largest of the mats which is perfect for our front room TV area.",positive,positive,positive,both_correct,50,False
1374,8,safety for babies and children,Being larger also allows room for the adults to sit next to baby and as they play around on the mat.,positive,positive,positive,both_correct,21,False
1374,8,"comfort, softness and texture",Being larger also allows room for the adults to sit next to baby and as they play around on the mat.,positive,positive,positive,both_correct,21,False
1374,9,"size, dimensions and fit",With larger mat I can accommodate plenty of toys making this an oversized play arena of sorts!,positive,negative,negative,both_wrong,17,False
1374,10,"design, appearance and looks","The gray is a light solid cover without creases (which I love because, nothing can get into a crack to hide and be in harms way of baby putting item in its mouth! )",positive,negative,positive,bert_fixes_baseline_error,34,True
1374,10,safety for babies and children,"The gray is a light solid cover without creases (which I love because, nothing can get into a crack to hide and be in harms way of baby putting item in its mouth! )",positive,negative,positive,bert_fixes_baseline_error,34,True
