review_idx,sentence_idx,aspect,sentence,true_label,baseline_pred,bert_pred,category,n_words,has_negation_marker
1584,0,"design, appearance and looks",These are the cutest little cups.,positive,negative,positive,bert_fixes_baseline_error,6,False
8167,2,safety for babies and children,"You also get baby wash & shampoo, baby lotion, baby bubble bath, cleansing cloths, and diaper rash cream.",negative,positive,negative,bert_fixes_baseline_error,18,False
7968,0,"design, appearance and looks",Love these cups,positive,negative,positive,bert_fixes_baseline_error,3,False
1584,0,"comfort, softness and texture",These are the cutest little cups.,positive,negative,positive,bert_fixes_baseline_error,6,False
2487,2,"ease of use, assembly and convenience",I am excited to use this when the babe arrives.,positive,negative,positive,bert_fixes_baseline_error,10,False
1584,4,"size, dimensions and fit",But they feel like big kid cups because they have no lids.,negative,positive,negative,bert_fixes_baseline_error,12,True
4344,13,"durability, washability and longevity",It's good for someone who doesn't know the gender or for someone who is planning on having more kids and would like it to last longer.,positive,negative,positive,bert_fixes_baseline_error,26,True
1584,1,product quality and performance,My kids love them.,positive,negative,positive,bert_fixes_baseline_error,4,False
8476,0,"design, appearance and looks",I actually bought this for for pit bull puppy because we be going into her first heat soon,positive,negative,positive,bert_fixes_baseline_error,18,False
7968,0,"comfort, softness and texture",Love these cups,positive,negative,positive,bert_fixes_baseline_error,3,False
4344,16,"comfort, softness and texture",I think it makes them a little nicer.,positive,negative,positive,bert_fixes_baseline_error,8,False
1584,1,"design, appearance and looks",My kids love them.,positive,negative,positive,bert_fixes_baseline_error,4,False
4344,12,"design, appearance and looks","These colors are nice because they are neutral, but still cute, especially the print.",positive,negative,positive,bert_fixes_baseline_error,14,True
8476,2,"price, cost and value for money",I heard this was better then buying doggie diapers and cheaper.,negative,positive,negative,bert_fixes_baseline_error,11,False
1584,2,"design, appearance and looks",The colors and pictures on the cups are darling.,positive,negative,positive,bert_fixes_baseline_error,9,False
4344,13,product quality and performance,It's good for someone who doesn't know the gender or for someone who is planning on having more kids and would like it to last longer.,positive,negative,positive,bert_fixes_baseline_error,26,True
1584,7,"size, dimensions and fit","They are a little wide for my 4 and 5 year olds to use one hand, but they insist on trying anyway.",positive,negative,positive,bert_fixes_baseline_error,22,True
4344,12,"comfort, softness and texture","These colors are nice because they are neutral, but still cute, especially the print.",positive,negative,positive,bert_fixes_baseline_error,14,True
7580,0,product quality and performance,This is awful I could not even open it to set it up directions no help my fingers became sore,negative,positive,negative,bert_fixes_baseline_error,20,True
1584,4,"comfort, softness and texture",But they feel like big kid cups because they have no lids.,negative,positive,negative,bert_fixes_baseline_error,12,True
